"","GSM2462533","GSM2462534","GSM2462535","GSM2462536","GSM2462537","GSM2462538","GSM2462539","GSM2462540","GSM2462541","GSM2462542","GSM2462543","GSM2462544","GSM2462545","GSM2462546","GSM2462547","GSM2462548","GSM2462549","GSM2462550","GSM2462551","GSM2462552","GSM2462553","GSM2462554","GSM2462555","GSM2462556","GSM2462557","GSM2462558","GSM2462559","GSM2462560","GSM2462561","GSM2462562","GSM2462563","GSM2462564","GSM2462565","GSM2462566","GSM2462567","GSM2462568","GSM2462569","GSM2462570","GSM2462571","GSM2462572","GSM2462573","GSM2462574"
"GPX2",5.87309438266667,4.16952661809524,5.09931457533333,4.26021878521429,4.06836374504762,4.16799073792857,4.32867671578571,4.15733765904762,4.81980129421429,4.70532444761905,4.44367069745238,4.45856995676191,4.03147308092857,4.26205820290476,4.16982255778571,4.63259530990476,4.14254219369048,4.0932918427619,4.24592676157143,6.1481800065,3.88644308966667,4.14515429430952,4.05120816538095,4.40426888047619,4.36150989566667,4.42053929335714,4.5912089885,4.54490160009524,4.13227741935714,3.92494179978571,4.07611887654762,4.04031625952381,4.11849860728571,4.32595024280952,3.94648906735714,4.52014578921429,4.06540553040476,3.57485203547619,4.27633453930952,4.21728988309524,4.26141519216667,4.27667011738095
"NID2",8.44433532976191,8.16784633578571,6.96515478554762,8.09791642995238,7.65527291811905,7.6456175042619,7.94851998588095,6.99457759866667,8.21851020416667,6.91355723038095,8.25000565478571,8.05483351752381,7.28860476361905,7.3885230872381,7.9129406657381,8.45495499835714,7.69254288702381,7.17297083511905,7.69125796254762,8.19960033642857,7.35448511088095,7.83207638509524,8.14502227714286,7.33586214119048,8.7421121487619,8.01586668745238,8.34238646971429,8.90513146116667,8.53021888135714,8.68064052538095,7.67622443528571,8.17843978966667,7.80957183490476,7.62617963466667,8.82219409328571,8.52802338792857,8.27644437221429,8.5567352025,8.03472197492857,7.78378574657143,8.18738647659524,8.12786904188095
"PGRMC1",10.283955627619,10.227138842619,9.79781581438095,10.1012338947619,9.87143155480952,10.1126706245238,10.2609420640476,10.4547013942857,10.0788383222381,10.0913881583333,10.0269714820476,10.3310707988095,10.1747493988095,10.1979487157143,10.172943542381,10.0208972124524,10.4086133897619,9.97113381195238,10.1107624902381,10.1869867969048,10.17061301,9.98530152554762,10.0306223132381,9.99343608554762,9.93892985430952,10.0225190969524,9.94053733588095,9.86445622426191,9.79781581438095,10.0932894219048,10.232483757619,10.0049003154286,9.87954452616667,9.88311285757143,10.0477225262143,10.2018802197619,9.7183894322381,9.94372401802381,10.0181292937143,10.0257433682619,9.98863682190476,10.0099156791905
"NFKB1",7.83650114042857,7.66922902871429,7.59119788619048,7.85066370497619,7.67898986114286,7.72134901238095,7.65063007757143,7.86818565847619,7.71676081535714,7.80789438730952,7.28596044469048,7.86516091121429,7.9772857625,7.62582999571429,7.69869513604762,8.2011956802381,7.51153643638095,7.46461679119048,7.52071701378571,7.80106582909524,8.08461695480952,7.57803777488095,7.72014881130952,8.09735910759524,7.76750165080952,7.86557212507143,8.15913853930952,8.35388849304762,8.0018108287619,7.65913276488095,7.52003562161905,7.76272135238095,8.24768807321429,7.92040829880952,7.95452415304762,7.5261012137619,7.98089975359524,7.7989775142619,8.10546084795238,7.67836007128571,8.14764652195238,8.1811244517619
"ABCB1",6.92399152521429,6.78296850697619,5.00381660533333,7.15431510102381,6.02737240280952,6.20429116190476,7.01885144235714,7.22488019228571,7.09287788116667,5.88149135740476,6.01038876954762,6.80767321916667,6.8631927452619,6.2372057532619,6.91571382957143,5.7318849425,7.46099398714286,5.51531115433333,6.44018848728571,6.73350508271429,6.79542073611905,6.82314894092857,5.12972934559524,5.64887820576191,5.49656413571429,5.49620235738095,5.70092690988095,7.29199344616667,5.03797330957143,6.16379516811905,5.23031948759524,6.32211725878571,4.40426888047619,5.16367144847619,6.45413838933333,5.18025804964286,4.49722275719048,5.56440144988095,6.89028830338095,5.35220911623809,5.77000711866667,6.26258887266667
"NMB",6.07355346219048,5.8748266992619,5.95050180730952,5.97608190754762,5.56440144988095,5.68098398571429,5.73217771442857,5.90486861807143,5.78318458511905,5.73959683928571,6.21389146357143,5.71756462435714,5.79613819285714,5.56980522688095,5.78618533459524,5.812203672,5.81830600057143,5.64222451497619,6.01153673,5.98043872511905,5.79547593809524,5.92601139447619,5.90486861807143,5.93265551533333,6.08955296983333,5.67578435611905,6.31979581709524,6.19334359166667,5.78618533459524,5.95902332728571,6.29033668319048,5.63247677447619,6.00699022859524,5.65676198061905,5.97794191164286,5.9557959245,5.90024022714286,5.96356604761905,5.64082723090476,6.14358710266667,5.82810228442857,6.13953954614286
"PRKCA",6.67219961104762,6.67893664461905,6.81648982635714,6.47224982083333,6.77310737683333,6.60698243292857,6.67529369192857,6.45644562430952,6.64049806857143,6.57801703309524,7.01240372483333,6.59452610564286,6.47002542995238,6.69951257157143,6.70928637609524,6.56776464614286,6.76963916430952,6.78193647209524,6.38840873178571,6.63442549238095,6.32751116283333,6.90485229783333,6.83769621545238,6.47731288816667,6.36286832454762,6.86749022135714,6.594189067,6.85542879688095,6.52903385314286,6.82314894092857,6.4811034037381,6.65286057376191,6.74981375947619,6.67056900545238,6.94296676802381,6.71640780216667,6.61544983283333,6.49466119352381,6.79003000980952,6.62753239054762,6.82697277178571,6.69145324352381
"ASNS",7.91247029688095,7.1868398397619,7.68157510040476,7.83111548614286,7.36197148742857,7.39460829488095,6.90485229783333,7.44271203295238,7.47400016345238,7.48673156833333,7.16662108821429,7.22263552245238,7.96945949257143,7.30745276469048,7.17581580059524,7.30560628680952,7.02500787809524,7.71900103292857,7.30181564828571,7.82301412314286,7.39386930328571,7.847180342,7.48426066016667,8.06727682595238,7.62344247597619,7.37059381428571,8.14895960045238,7.51407587542857,7.87821123059524,7.18603421147619,7.40659398245238,6.97571514080952,7.36829087792857,7.64721136861905,7.518103988,7.70539750857143,7.98622801966667,7.50844206485714,6.82806347721429,7.12681494392857,8.15631599540476,7.51255849914286
"KNTC1",4.09606511807143,3.94276326211905,4.0756917902381,3.94832081152381,4.14126147033333,4.235286037,4.162695081,3.61945241938095,4.00767803764286,4.08530523645238,3.57429899111905,4.28754501635714,4.15708118061905,3.9934892187619,4.02310442859524,4.26478966740476,3.87928859383333,3.99375974242857,4.15510475795238,4.3638591605,3.94499549364286,3.69604943569048,3.86632879271429,4.33416304321429,4.60099191980952,4.1472678592619,4.04246618664286,3.98832474569048,3.83969955147619,4.44619948033333,4.2549265125,3.8884124377619,4.24159460121429,4.63340943297619,4.13142367935714,4.07256295257143,3.84958425452381,4.15607206657143,3.95444247080952,4.31406922145238,4.79565294359524,4.15342790769048
"RIPK2",6.50521537664286,6.37424487890476,6.60018841297619,6.74526655514286,6.4845113732619,6.58464272888095,6.14726858304762,6.67434328085714,6.46895337888095,6.48542813795238,6.52081676947619,6.29778553571429,6.8145915525,6.24965557888095,6.41007522892857,6.9511036212381,6.40033345690476,6.24576092885714,6.30314894838095,6.68571039792857,6.8591125565,6.47355105097619,6.1110445895,6.29684486614286,6.59583333392857,6.36433386921429,5.971873088,6.2428800442619,6.10486685330952,6.16461434311905,5.69362377530952,6.2783159105,6.09668183254762,6.09668183254762,6.01804497985714,6.00168514083333,6.35387820416667,6.14481751490476,6.10325800816667,5.93790735661905,6.1278486902619,6.34783763207143
"HSDL2",8.23158940566667,8.42655209742857,8.24039223752381,8.03569521966667,8.33799187497619,8.49632689890476,8.65113111030952,8.88816121678571,8.25888008804762,8.85911065019048,8.34201836202381,8.30659856921429,8.26757071680952,8.70253557933333,8.37623355578571,8.18478489752381,8.02921025028571,8.32279873240476,8.42704924778571,8.31913741688095,8.71262033402381,8.47464898828571,8.28818048069048,7.91769024116667,8.17393950542857,8.35646816402381,7.88125765045238,7.67456027621429,8.06175802069048,8.24666959207143,7.59001043297619,7.37982805064286,8.05983406535714,7.8934740242619,8.34398988357143,8.01435958145238,8.09176565621429,8.14611868211905,7.53593975078571,7.95073582595238,8.0118753492381,8.15322150154762
"CAT",9.30625956038095,9.99343608554762,9.13215309709524,9.53538743961905,9.25146335654762,9.70160777138095,9.97398956369048,10.0662553114048,9.35051642909524,10.1026021516667,9.65544102588095,9.71455758340476,9.25684501645238,10.0440694432619,9.851293796,9.57788614347619,9.57512227583333,9.74369312,9.62737139004762,9.68278948897619,9.44825134980952,9.36120764969048,9.63381577259524,9.1372023115,9.14759979221428,9.25771695438095,9.2935746,9.46550899928571,9.29453807845238,9.75641069930952,9.268407506,9.77058279269048,9.08891713930952,9.45512497995238,9.81250624657143,9.68406057314286,9.25055712692857,9.38351140933333,9.52230972321428,9.51787637111905,9.06808201464286,9.67323010109524
"RIDA",8.75063689104762,9.42233075833333,7.93236199469048,8.88584533864286,8.573724415,9.29453807845238,9.98863682190476,9.81533481409524,9.27028312038095,9.39166429157143,9.54650050692857,7.96772754892857,9.11879093452381,9.26261543740476,9.61012491990476,8.94977906038095,9.32743494742857,8.83468083238095,9.85545354140476,9.23327342921429,8.82578358735714,8.26865497780952,7.14537171466667,8.07950796580952,8.21797292588095,8.39153446992857,7.1475021735,8.27589103230952,7.4054388932619,9.00675476490476,8.35196136688095,8.99994990914286,7.88301552559524,7.89899734826191,8.34283724669048,7.83299647604762,8.33799187497619,7.52881802847619,8.59616326490476,8.32620740954762,7.68120713840476,8.77843962838095
"METTL7A",7.86895650302381,7.93844688945238,7.10812273638095,7.40970572771429,7.78378574657143,8.10647981652381,8.42608660088095,8.06727682595238,7.80877582359524,7.79129780469048,8.24889625007143,7.6831929147381,7.76227137733333,8.06348203138095,8.08936363807143,7.4666712577381,8.14940437085714,7.84853173764286,7.88336034378571,7.9315158767619,7.6765951897381,7.72716738266667,7.09749704059524,6.61435614947619,7.68666679657143,7.38626534978571,7.73692420335714,7.61334573683333,6.76890338911905,7.71547624178571,7.4909809392381,7.90782215109524,7.12475332264286,7.71293962683333,7.45283603902381,7.71333290183333,7.70281786042857,7.02576993892857,7.5075916315,7.47310881404762,7.00216045535714,7.56604841030952
"DEPTOR",8.59482104166667,8.26095410988095,8.02718387219048,7.77306305242857,8.84899478154762,8.82987626133333,7.95310763030952,8.42182996469048,8.30385624995238,8.1811244517619,8.92647622452381,8.054359087,8.24889625007143,9.02207257785714,8.27999452678571,8.32568582585714,8.10344601892857,8.0403989395,8.41106602130952,8.28129408228572,8.25539721752381,8.29010151104762,8.21851020416667,7.73598710138095,7.95575083011905,7.45762435692857,7.91333138171429,6.52553889383333,7.7777009227381,8.05116793940476,7.25525637104762,8.52510099940476,6.96278935483333,7.91072153945238,7.27909106992857,7.60830957461905,7.67858269442857,7.57614225021429,7.5706649762381,7.63170480602381,7.17686856714286,8.43519958740476
"DNAJA1",11.1515740738095,10.6535057266667,11.3797281388095,11.6307570011905,11.4985494292857,11.1933324897619,10.4860973388095,10.988948247619,10.9492875238095,11.35404876,10.9445344409524,10.7514721757143,11.781830717619,11.3245495688095,10.9264000566667,12.3792691333333,10.548120145,10.8776000059524,10.8216420116667,10.9492875238095,11.0803337119048,11.3947024961905,10.7416728352381,10.9055936366667,10.767961282619,10.81738867,10.5843046264286,10.8923718502381,11.0299416842857,10.6925908807143,10.8140250666667,10.7211869169048,10.9161867654762,10.8548834719048,10.8657016052381,10.7092207314286,10.4063346447619,10.7448978314286,10.8923718502381,10.9019939552381,11.090246422619,11.0765509733333
"HPGD",9.56376543633333,8.97534461397619,10.3052936269048,10.2218041435714,8.35001633626191,10.283955627619,10.1446928952381,9.3592993915,8.56822607938095,10.0477225262143,9.9791206872619,8.85643361571429,10.6454964221429,9.57155101759524,9.6989074062619,10.3422344333333,9.62029177730952,10.3559421897619,8.88975793307143,9.32743494742857,10.6095738680952,8.62897366238095,8.56425072788095,10.7618646895238,10.0440694432619,9.56161814811905,8.61243666407143,9.94372401802381,10.4754706795238,9.01765913380952,9.58117267309524,9.07089264890476,9.74771119042857,9.98863682190476,10.5263820102381,9.65432989495238,9.69229836988095,10.2938989295238,9.85861929488095,9.59256434597619,9.35361913473809,9.60522594388095
"MAP3K5",8.76200317692857,8.34865930783333,8.81614746738095,8.67460917773809,7.73510631269048,8.45017302402381,7.9920890287619,8.98972486528571,8.01952453064286,8.49527108683333,8.18586232573809,8.72053973635714,8.89164812495238,8.99131157271429,8.28566789792857,8.80993243171429,8.49188370935714,8.70204208161905,7.64721136861905,8.5893429552381,8.51993436133333,8.25336567259524,8.96694600071429,8.55731817257143,8.58866254697619,8.51540136814286,8.794884195,8.23114309595238,8.57155277938095,8.30544327271429,8.42281817480952,8.88015899288095,8.49013953840476,9.0734876217381,8.59556339719048,9.16422062180952,8.95541320052381,8.63497662633333,8.42904612940476,8.5343594222381,8.56299214321429,8.02092434657143
"PCK2",9.00912673302381,9.38261459214286,8.4958305865,8.87016868661905,8.81311531938095,9.68557887954762,10.0372575271905,10.069003871381,8.89731122452381,9.90492091307143,9.49088385557143,9.01908120626191,9.15485573740476,9.027610927,9.71340727992857,9.40240693238095,9.70831899580952,9.34580243071429,9.62846475188095,9.38638080440476,9.20750692819048,8.72991263119048,7.59777990016667,8.60560310335714,8.34514750457143,8.37114493266667,7.83163529476191,9.19230791683333,8.14558160557143,9.09738704671429,9.01977705807143,9.31635957188095,8.46811740559524,7.87965485885714,8.61638749378571,8.68659145930952,8.03020791121429,7.92278662428571,8.74146041997619,8.780724191,8.56425072788095,9.17387926385714
"WDR20",5.33889334557143,5.41169805052381,5.33016565254762,5.72769421964286,5.77378959114286,5.58209747938095,5.50233313280952,5.40509088819048,5.3987591697381,5.59328372642857,4.97401474114286,5.84750977338095,5.69836822219048,5.50800255397619,5.41470044930952,5.26423579828571,5.37994014519048,5.64568220885714,5.70219056207143,5.37675329483333,5.5838052967619,5.58472975104762,5.44050655354762,4.97057156954762,5.51192807311905,5.6194587775,5.3000048912381,4.84534052490476,5.17202549678571,4.92320388247619,4.85402246047619,5.68098398571429,5.16307598728571,5.37863001204762,5.45095080895238,5.07708267826191,5.58833254316667,5.33654431209524,5.29773859390476,4.9435016032381,5.15014059197619,5.29152938240476
"KDF1",4.32298647492857,4.26589317411905,4.12745622402381,4.25005706152381,3.69019866483333,4.42564784652381,4.22279886414286,4.14254219369048,3.98986968835714,4.26704567819048,4.15607206657143,4.24621046264286,4.27249678257143,4.02398077716667,4.23801991616667,3.7355687225,4.65615145030952,4.214631264,4.33507536261905,4.11959015242857,4.381369718,3.97101726930952,4.20832227004762,4.26813185507143,3.72455946588095,4.13717413414286,4.01637239919048,3.90834579842857,4.16177224661905,4.10729506311905,4.1722968785,4.57425909097619,3.77595847383333,4.0776640625,3.7435130607381,4.14690418564286,4.38493891028571,3.77102712888095,3.93836401978571,4.37464348504762,3.94776101607143,3.94352927866667
"ST6GAL1",7.85838731566667,7.50136029907143,7.89130237978571,7.77997121616667,8.02969949978571,7.44848480885714,7.9916577747381,7.61059690297619,7.77222910547619,8.12214194476191,7.61771341819048,7.68837406569048,7.6372064677619,7.9569959782381,7.65482917266667,8.10546084795238,7.5783901915,7.45145440509524,7.92278662428571,7.65814102145238,7.80071834783333,7.80321676752381,8.05674180347619,7.73736388369048,7.97878802914286,8.16939297864286,7.81770898090476,7.64443435011905,7.88336034378571,7.54941828911905,7.93751031552381,7.96124062442857,7.8621960262381,7.9920890287619,8.32685198011905,7.87675835211905,7.74305671297619,8.14259920842857,7.90641291521429,7.9492858967619,7.78030155273809,8.04969135847619
"CD19",4.62270982604762,4.68498817297619,4.52861212966667,4.64698258802381,4.395519799,4.33306012466667,4.32778698183333,4.86081920083333,4.47680317280952,4.25830762759524,4.41788589092857,4.65175843492857,4.95691474557143,4.4835190117619,4.54664105792857,5.03926170652381,4.58855141369048,4.53494294078571,4.25797823878571,4.15138376116667,4.89647622619048,4.49501371461905,4.68436506571429,4.25096932111905,4.55316276245238,4.20235542864286,4.85441597433333,4.86715196116667,4.775004657,4.5375359825,4.29784823911905,4.51978176547619,4.59049874997619,5.05559646288095,4.498727781,4.8804625282381,4.05456300557143,4.71359169369048,4.61970711092857,5.09994429954762,4.41203236152381,4.37494582892857
"MS4A1",3.35325689602381,3.16569822264286,3.35030756319048,3.32426166635714,3.13470961728571,3.4145481897381,3.17849884202381,3.07603058669048,3.29701945547619,3.26267149742857,3.18699510611905,3.28501017490476,3.20399455721429,3.15849559721429,3.24269802866667,3.17341699630952,3.23145554297619,3.20911919904762,3.12570152657143,3.5447353287381,3.2898223507381,3.42114807959524,3.31443087835714,3.2898223507381,3.30749651502381,3.3485985072619,4.1887419187381,3.29409156259524,3.355746712,3.28010434085714,3.43395289340476,3.26452997497619,3.08677184933333,3.51723874321429,3.2871472327381,3.13860566728571,3.26386216488095,3.45081072392857,3.44602946654762,3.40524842128571,3.48761682657143,3.48054688878571
"SLC3A1",11.214557902619,10.5843046264286,9.9952878707381,10.5514415342857,9.76774868142857,10.8351602392857,11.4207768621429,11.6374480807143,10.7350596897619,10.241361097619,11.2462858271429,10.8813759240476,10.6315975097619,10.3153355421429,11.0936449964286,10.5514415342857,11.569478232619,10.650825005,11.2268236714286,10.9161867654762,10.4997440145238,10.0850798880238,8.15079450785714,9.51025576192857,10.0850798880238,10.2041017390476,9.28374550864286,9.7775739895,9.3171756997381,10.581757592381,9.87954452616667,10.4524930821429,9.25508665130952,9.14590911978571,9.9270888627381,9.54802711078571,9.442614516,9.048093936,9.79628208814286,10.0225190969524,9.70553898533333,10.2955007052381
"MAPK3",6.91686684211905,7.22601886740476,7.20798279528571,6.78393083942857,6.82486048664286,7.102346172,7.15332987992857,6.98851859478571,6.81970287002381,6.99863611980952,7.2209118155,7.07056794164286,7.04334756742857,6.80767321916667,7.04427897645238,7.23657859252381,7.00288388869048,7.35758268547619,6.91257211857143,7.18036010697619,7.01342654335714,6.69511687804762,7.14400722609524,7.34877742038095,7.1842154055,7.09715561066667,7.48632831533333,7.21024169978571,7.13657045638095,7.24225220219048,7.37059381428571,7.24326162607143,7.54609222540476,7.23077288635714,7.21353077304762,7.7291526167381,7.34350767497619,7.22524575554762,6.96278935483333,7.12612631583333,7.22670876366667,7.23657859252381
"FCRL3",3.75016698211905,3.79439188278571,3.75307002092857,3.70166646183333,3.75673144895238,3.58804635814286,3.89213977952381,3.330032699,3.67810565980952,3.83969955147619,3.46756564133333,3.74475079104762,3.75459378845238,3.40080376092857,3.61331574154762,3.79400177888095,3.69827348614286,3.78524417864286,3.58298640442857,3.62164329771429,3.91278036747619,3.83085677171429,3.80277029752381,3.81491135735714,4.04809191283333,3.8645373497619,4.26205820290476,3.8543277085,4.01881330652381,4.0448509177619,4.0522998977381,3.63126384421429,3.74260834254762,3.69305971742857,3.63405295680952,3.70408335633333,4.03115732257143,3.75492970380952,4.17498618414286,3.79113363259524,3.76152024028571,3.84860665335714
"PLA2R1",10.0724415172381,10.5704191235714,10.7618646895238,10.6369755192857,10.7902621085714,10.7514721757143,10.4312659128571,10.6118633509524,10.5514415342857,10.6925908807143,10.488737152619,10.614736897619,10.5978286416667,10.7652971759524,10.4997440145238,10.7384354009524,10.386350647381,10.8581712485714,10.4176473592857,10.177933342619,10.6925908807143,10.8548834719048,10.6773397192857,10.7546304166667,10.6118633509524,10.868084107381,10.241361097619,10.7063482733333,10.6006574495238,10.7514721757143,10.4754706795238,10.42285851,10.7448978314286,10.9445344409524,10.966238905,11.0342397933333,10.6222514728571,10.8515907392857,10.6925908807143,10.2451032388095,10.6564626635714,10.7159467530952
"FDX1",8.00047103138095,7.39526767864286,7.43218273926191,7.36755315485714,7.83163529476191,7.91247029688095,7.92278662428571,7.74665005357143,7.7070228455,7.35484072140476,7.66669836516667,7.60626003259524,8.17564646040476,7.49735526216667,7.90193630309524,7.87328929459524,7.551729876,7.42488452697619,7.77222910547619,7.87675835211905,7.93989228785714,7.3304629547381,7.31494616316667,7.20500275069048,7.75836572038095,7.91811735688095,7.47771749266667,7.09178465428571,7.28596044469048,7.06131237376191,7.36613694902381,8.13079146459524,7.16963210869048,7.22816175080952,7.67538853021429,7.17612974619048,7.26768221454762,7.65995466319048,7.56564087578571,7.4768924972619,7.50049040440476,7.4054388932619
"BID",6.08593696852381,6.65055179897619,6.14694580514286,6.28588757785714,6.48691841709524,6.00754930521429,5.53059112985714,6.11613116661905,6.34925465004762,6.29065618552381,6.2808501007381,5.6751896005,6.26719573916667,6.23657143895238,6.21670486047619,6.11069248095238,6.25734492769048,6.18669787535714,5.76876946954762,5.6194587775,6.78265733545238,6.30043819607143,5.96422606504762,6.89278871623809,7.33275555714286,6.61032428740476,6.09453025416667,6.93412237180952,6.43486522378571,6.69551273614286,6.59886356342857,6.44077918321429,6.58815087866667,6.60662989142857,6.59775300678571,6.18116938735714,6.73438368085714,6.50417907278571,7.40243813747619,6.38462460119048,6.37396474928571,6.5773155147619
"CCL21",5.06373279797619,4.8877845112619,4.31131481019048,4.81057086264286,4.62087333847619,4.7329644142619,4.58501650390476,4.82802356830952,4.88284668,4.68164815333333,4.729975853,4.63999047052381,4.72282787997619,4.81790011095238,4.85752816642857,4.81664710302381,4.75335004230952,4.9213295425,4.69729814628571,4.79657864123809,4.45856995676191,4.6339355015,4.70438604083333,5.01404771235714,4.86403943061905,4.77580637590476,6.05915038847619,4.97001225845238,4.86367510419048,4.99968201769048,4.97519398214286,5.61676660180952,5.09406071742857,4.89296310954762,5.98148112083333,5.69457358485714,4.73164914061905,5.1776732705,5.08553639859524,5.368993968,4.74582818235714,5.28569766709524
"CCL19",3.26773644680952,3.330032699,3.3155988112619,3.13220797028571,2.98515048130952,3.37367249054762,3.54778587740476,3.15726947488095,3.40114369742857,3.2461106522619,3.30021530633333,3.40656774647619,2.88005515459524,3.08580553369048,3.24302220621429,3.21008357995238,3.18157780616667,3.21220657702381,3.3744775212619,3.46118401295238,3.45740221385714,3.38411313645238,3.2433196357381,3.330542808,3.38595319835714,3.21889363897619,5.42024920447619,3.34944748802381,3.97130824907143,3.53934581364286,3.76498705604762,3.35376128438095,3.43110377059524,3.24269802866667,3.53840692966667,3.72537531445238,3.35325689602381,3.3422290492619,3.67970599957143,3.83420889064286,3.67039980845238,3.69072765807143
"CD37",3.54170611409524,4.60125336195238,3.7237520322381,3.81168689654762,3.76472727195238,3.55728658352381,3.49840941530952,3.56024147952381,3.85634626385714,3.98893313216667,3.80558938440476,3.42052697328571,3.6997482725,4.05987008680952,4.01835930854762,4.03147308092857,3.75262899107143,3.6490118475,3.50155742757143,3.94938931097619,3.71701567852381,3.31835517842857,3.95759415707143,3.73756530864286,3.56516703330952,3.60892843771429,4.5102577307619,3.9211393115,3.81918009828571,4.48926353142857,3.98950506916667,4.427195839,3.64352294561905,3.86603197766667,3.84212655988095,4.09295321657143,3.71701567852381,3.5841862392619,3.89125714242857,4.53811027528571,4.04785590619048,3.84603444119048
"TOP1",8.26521471121429,8.48227053628571,8.41497412740476,9.00675476490476,8.78148728054762,9.2007398185,8.61439726711905,8.71551834014286,8.74897931278571,7.91853703866667,8.87106993069048,8.59804753357143,9.28828658790476,8.97534461397619,8.86748304569048,9.21002126076191,8.41905862035714,8.58067604397619,8.81948532640476,8.3581803762381,8.71202359359524,8.2163350895,8.48330733757143,8.3385350607381,8.58067604397619,7.89580533161905,7.30589550697619,8.92197455880952,8.45495499835714,8.59105754235714,8.4758552262381,8.67734508740476,8.5231577172381,8.39992631038095,8.56640358790476,8.67260297171429,8.08296156004762,8.47916824102381,8.39199739411905,8.27687448128571,8.3594356215,8.56585564609524
"TLR10",3.16505293580952,3.25831160847619,3.24242246259524,3.23219407366667,2.99683463804762,3.0558240887381,3.29123793440476,3.35731889421429,3.16602160104762,3.18078036271429,3.1483054342381,3.24028702645238,3.265201755,3.11201911378571,3.25892654128571,3.33896412538095,3.17849884202381,3.28562003783333,3.13124008390476,3.2814511047381,3.08702587971429,3.14692854797619,3.32648553714286,3.1064156282381,3.22925115066667,3.23965663661905,3.50315558435714,3.17825184211905,3.14894395059524,3.40239792290476,3.552463113,3.05740446595238,3.33406643514286,3.13571277354762,3.39046276869048,3.37298328404762,3.1238383555,3.30504666652381,3.19923520683333,3.26833074095238,3.24452724133333,3.41177977430952
"ARHGEF5",8.34514750457143,8.51590571740476,8.51590571740476,8.52692739504762,8.93137511345238,8.58664854219048,8.60875916983333,8.58175634671429,8.69998468690476,8.30596120669048,8.56354780628571,8.47684508488095,8.86564265369048,8.03472197492857,8.69885738154762,8.53021888135714,8.55015577340476,8.47333016419048,8.63831675969048,8.58117986430952,8.68460462254762,8.86689428716667,8.40976493880952,8.46081757428571,8.20946479533333,8.47855685111905,8.65547606490476,8.65739106869048,8.45439516335714,8.43590535838095,8.5401027595,8.10742145747619,8.14657749469048,8.503115294,8.1536205387619,8.19533526464286,8.57673389247619,8.02969949978571,8.63346246476191,8.48482021402381,8.35143086252381,8.53500561076191
"BLK",3.89335463611905,3.78547820011905,3.95040308102381,3.8355293797619,3.76958459911905,4.14020335585714,3.8022553857381,3.92462412671429,3.83160062211905,3.9164751912619,3.85270084502381,3.85668693611905,3.97323696430952,3.44691429207143,3.70408335633333,3.57060735711905,4.05870480461905,4.05870480461905,3.74475079104762,4.08299730821429,3.85462882685714,4.54065007664286,4.56766431540476,4.63259530990476,3.75949772764286,4.13047856761905,4.5126836172381,4.16409866554762,4.10584423797619,3.92399827011905,4.12745622402381,3.8866940692381,4.12908581738095,4.12697650280952,3.99660643907143,4.23740071890476,4.2328482342381,4.22223626328571,4.10383981619048,4.11019941854762,3.96318278945238,4.19465263264286
"EPHX2",7.48135087959524,8.16886386340476,6.91289438521429,7.40732109978571,7.39599456021429,7.87080779621429,8.35703435347619,8.25051942252381,7.36953297359524,8.27789700983333,7.85335755488095,7.46416921330952,7.64890159383333,7.75959497816667,8.31713089978571,7.0680269327619,8.34338613564286,8.10122785988095,7.33823768447619,7.43325351069048,8.16696803464286,7.16885648457143,7.07631286152381,7.28382527269048,7.15174640059524,7.44614910061905,6.94376183535714,7.35655818526191,6.71745370283333,7.29302517297619,7.93601342992857,7.79730710264286,7.20935791078571,7.28450922347619,7.35448511088095,7.8306256252381,7.14400722609524,7.03567660038095,6.6590813275,7.69996782566667,7.32092171669048,7.5608379345
"FDCSP",2.64105226854762,2.89155241928571,2.95836196611905,2.81939564804762,2.75285248833333,2.98084337733333,2.78728099578571,2.81804296321429,2.92214235490476,2.71867798792857,2.93341626447619,2.7560517832619,2.78844336778571,2.70303384447619,2.84584303214286,2.75535943692857,2.74194786614286,2.81173658307143,2.82918060857143,2.72324137278571,2.94393819419048,3.01085019640476,3.01253032114286,2.93508730219048,2.85234628947619,2.95450232511905,3.03394546742857,2.66529564704762,3.01048692745238,2.83543758588095,2.76732487028571,2.82310484869048,2.95949040959524,2.78269329133333,2.64105226854762,2.94330387757143,2.79721714659524,2.95576458871429,2.67230510995238,2.92767412866667,2.69787048038095,2.94330387757143
"SYNPO",9.31365923871429,9.56931493802381,9.47601751245238,9.46455526376191,9.66808342526191,9.53538743961905,9.40354082692857,9.55146514090476,9.40884974628571,9.58716944564286,9.58001279283333,9.37444237221429,9.50397619266667,9.49514458738095,9.3701949165,9.78030209421429,9.2935746,9.56704876361905,9.51549238440476,9.38261459214286,9.46874170321429,9.50312406269048,9.51126883459524,9.40159442769048,9.35461086495238,9.28744893221429,9.63381577259524,9.66416470754762,9.54341790795238,9.31447087809524,9.50093328352381,9.57028370680952,9.63750267697619,9.62187352580952,9.51549238440476,9.83234167611905,9.36819795702381,9.49629938342857,9.5625698615,9.41007140566667,9.46550899928571,9.44914570173809
